feature,f_binary,mi_binary,rf_binary,agg_stageA,f_type6,mi_type6,rf_type6,agg_stageB,selected,in_stageA,in_stageB
aa_H,470.38125626927535,0.08355479388433085,0.006570948842212328,0.14815636889749434,193.4965450340914,0.45885798444034664,0.007318798930407638,0.30009814044979444,True,False,True
dp_TE,274.87922505859166,0.055851865358691466,0.0014072126709469346,0.058736697314502026,1224.023215074131,0.25146540935242845,0.007146554737066855,0.29215708827594183,True,False,True
dp_AG,1380.610614121595,0.07741562145556768,0.006351210956340756,0.2120373095835983,670.3391559915426,0.2987895701712153,0.007404696037648023,0.29082397031750773,True,True,True
dp_ET,261.5423640652015,0.04926959730678493,0.00155404070128339,0.05683692181767372,1161.622786413178,0.17339058075594282,0.00654097099155374,0.28569397127174795,True,False,True
dp_AE,106.5510785833183,0.06605851892934322,0.002259238899867305,0.0863340591527122,819.6510952681842,0.19468905576386275,0.007007543870691014,0.28383090726923477,True,False,True
aa_S,1936.2543966747464,0.11100341800241509,0.017729365216829315,0.35298865022553655,313.77492784201087,0.48333697797065067,0.005664121154842452,0.2832923944686656,True,True,True
dp_EG,1160.2711239031269,0.07930824447465601,0.004171381322836578,0.1627559103896443,585.8517619177649,0.3143399240042726,0.006965450467971513,0.2797858090873519,True,True,True
dp_EP,36.45616442534052,0.025896768448315788,0.0010139175532043203,0.020634625401766908,1285.4348889681055,0.07447660471520834,0.008773332178060285,0.26225216929619555,True,False,True
dp_EV,132.1606202867969,0.040929949294123746,0.002433296094188419,0.06115507787065983,1063.2321196075839,0.16904723231183816,0.0065852480361927295,0.25979434404301394,False,False,False
dp_AA,1095.3708543842467,0.10225084777004101,0.0033528205156969533,0.18378429304811336,586.3329910250068,0.34664010478432683,0.0048094701230721616,0.25816558857999666,True,True,False
dp_PV,32.368942407964084,0.060087344338900284,0.001730993582236268,0.07226551314775338,859.8448063864362,0.2563691291310617,0.002303869315425892,0.24451002293713003,False,False,False
dp_DG,367.44796259856037,0.04903919785771138,0.003501522477120079,0.0959413254118209,507.4369184461857,0.1650978619927379,0.009190955922608627,0.23873276771672133,False,False,False
dp_PE,17.993164714907,0.05633741025127348,0.0016289928147706545,0.06345447364494333,910.2692263655802,0.16981467126729388,0.006491674484362938,0.23199738285571356,False,False,False
